Resort ID,NameResort
181,braz-innerbraz
182,breitenwang
183,brenneralm-breitenfurt-bei-wien
184,bruggen-greifenburg
185,brunnalmhohe-veitsch-veitsch-st-barbara-im-muerztal
186,bschlabs-pfafflar
187,buchberg-goldegg
188,buchsteinlift-reiflingviertel-st-gallen
189,buergeralm-aflenz
190,bungerloch-tarrenz
191,dellach-im-drautal
192,dollwiese-vienna
193,dorflift-sulzberg
194,druckerhof-unterach-am-attersee
195,eberschwang-hausruck
196,eibisberg-anger
197,eichfeldlift-turnau
198,elfer-neustift
199,embach-hoerndl
200,emberger-alm-berg-im-drautal
201,eugendorf
202,fageralm-forstau
203,faschina-fontanella
204,feichtecklift-brandlucken-st-kathrein-am-offenegg
205,feichten
206,feistritzsattel-trattenbach
207,fellachlift-virgen
208,fischbach
209,floitenlift-ginzling
210,foersterkogel-puchenstuben
211,forsteralm-waidhofen-an-der-ybbs
212,frauenstaffl-ulrichsberg-waidhofen-an-der-thaya
213,freistadt
214,furtnerlifts-rohr-im-gebirge
215,gaaler-lifte-gaal
216,gaberlplankogel-salla-maria-lankowitz
217,gaisrueckleiten-wiesen
218,gedersberg-seiersberg
219,geigenbuehel
220,gerlossteinramsberg-hainzenberg
221,gfoellberglift-holzgau
222,glasenberg-maria-neustift
223,goellerlifts-gscheid-st-aegyd-am-neuwalde
224,gramais
225,graukogel-bad-gastein
226,gries-laengenfeld
227,griminitzen-kirchbach
228,groellerkopf-uebersaxen
229,gruenberg-obsteig
230,grunholzlift-au
231,gut-enghagen-rossleithen
232,haeselgehr
233,hagenberglifte-sulzberg
234,hahnbaum-st-johann-im-pongau
235,hallstatt
236,hammerbodenlift-grossreifling-landl
237,hansberg-st-johann-am-wimberg
238,hartmannsdorf
239,hauereck-st-kathrein-am-hauenstein
240,hausberglift-waidring
241,heidialm-skipark-falkert
242,heumoeser-ebnit-dornbirn
243,hinterfeld-moesern-telfs
244,hinterreit-saalfelden-am-steinernen-meer
245,hirnkopf-flattnitz-gloednitz
246,hittisberg-hittisau
247,hochbaerneck-st-anton-an-der-jessnitz
248,hochhaederich-hittisau
249,hochkeil-am-hochkoenig
250,hochlecken-neukirchen-altmuenster
251,hochlitten-riefensberg
252,hochmoos-leutasch
253,hochplett-oberaschau
254,hochrindl-sirnitz
255,hochwechsellifts-moenichwald
256,hohentauern
257,hohenzellerstrasse-ried-im-innkreis
258,hoislifts-modriach-edelschrott
259,holzmeisterlifts-sommeralm-st-kathrein-am-offenegg
260,hotz-oberweng-spital-am-pyhrn
261,hrastlift-feistritz-an-der-gail
262,huettegglift-weerberg
263,huetten-bizau
264,jauerling-maria-laach-am-jauerling
265,johnsbach-admont
266,josefsberg-mitterbach-am-erlaufsee
267,kaiserau-admont
268,kaiserlindenlift-gams-bei-hieflau
269,kaisers
270,karlift-heiterwang
271,katschwald-obdach
272,kesselmannlifte-faistenau
273,kienleitenlift-brandenberg
274,kinzenberg-taiskirchen-im-innkreis
275,kirchbach-rappottenstein
276,kirchdorf
277,kirchdorflift-doren
278,kirchschlag-bei-linz
279,kleinlobming
280,kluglifte-hebalm-rettenbach-deutschlandsberg
281,knittellifte-elbigenalp
282,koenigsberg-hollenstein-an-der-ybbs
283,koenigswiesen
284,koetschach-mauthen-vorhegg
285,kohleck-waldzell
286,kolsassberg
287,konradshuettle-vils
288,koralpe
289,kraehenberg-sibratsgfaell
290,krinnenalpe-nesselwaengle
291,krippenstein-obertraun
292,kroessbach
293,kronberg-st-georgen-im-attergau
294,laerchenhof-erpfendorf
295,lainach-rangersdorf
296,lammeralm-langenwang
297,lammertallift-annaberg-lungoetz
298,lana-lift-anras
299,langkampfen
300,lechnerberg
301,lengau
302,lessach
303,liebenau
304,maiszinken-lunz-am-see
305,maria-schmolln
306,mathon
