Resort ID,Resort Name,Continent,Country,State/Province
81,. Rosshütte – Seefeld,Europe,Austria,Tyrol (Tirol)
82, Sonnenkopf – Klösterle,Europe,Austria,Vorarlberg
83,. Hochkössen (Unterberghorn) – Kössen,Europe,Austria,Tyrol (Tirol)
84,. Vent,Europe,Austria,Tyrol (Tirol)
85, Weissee Gletscherwelt – Uttendorf,Europe,Austria,Salzburg (Salzburger Land)
86,. Werfenweng,Europe,Austria,Salzburg (Salzburger Land)
87,. Venet – Landeck/Zams/Fliess,Europe,Austria,Tyrol (Tirol)
88, Rifflsee,Europe,Austria,Tyrol (Tirol)
89,. Biberwier – Marienberg,Europe,Austria,Tyrol (Tirol)
90,. Walmendingerhorn/Heuberg – Mittelberg/Hirschegg,Europe,Austria,Vorarlberg
91,. Muttereralm – Mutters/Götzens,Europe,Austria,Tyrol (Tirol)
92,. Wurzeralm – Spital am Pyhrn,Europe,Austria,Upper Austria (Oberosterreich)
93,. Ramsau am Dachstein – Rittisberg,Europe,Austria,Styria (Steiermark)
94,. Jöchelspitze – Bach,Europe,Austria,Tyrol (Tirol)
95,. Grebenzen – St. Lambrecht,Europe,Austria,Styria (Steiermark)
96, Ankogel – Mallnitz,Europe,Austria,Carinthia (Karnten)
97,. Feuerkogel – Ebensee,Europe,Austria,Upper Austria (Oberosterreich)
98,. Fanningberg,Europe,Austria,Salzburg (Salzburger Land)
99,. Laterns – Gapfohl,Europe,Austria,Vorarlberg
100,. Buchensteinwand (Pillersee) – St. Ulrich am Pillersee/St. Jakob in Haus/Hochfilzen,Europe,Austria,Tyrol (Tirol)
101,. Monte Popolo – Eben im Pongau,Europe,Austria,Salzburg (Salzburger Land)
102,. Hahnenkamm – Höfen/Reutte,Europe,Austria,Tyrol (Tirol)
103,goldeck-spittal-an-der-drau,Europe,Austria,Carinthia (Karnten)
104,Nordkette – Innsbruck,Europe,Austria,Tyrol (Tirol)
105,. Rangger Köpfl – Oberperfuss,Europe,Austria,Tyrol (Tirol)
106,. Zauberberg Semmering,Europe,Austria,Lower Austria (Niederosterreich)
107,. Gschwandtkopf – Seefeld,Europe,Austria,Tyrol (Tirol)
108,. Jungholz,Europe,Austria,Tyrol (Tirol)
109,stuhleck-spital-am-semmering,Europe,Austria,Styria (Steiermark)
110,markbachjochlanerkoepfl-niederau,Europe,Austria,Tyrol (Tirol)
111,innerkrems-kremsbruecke-krems-in-kaernten,Europe,Austria,Carinthia (Karnten)
112,. Kristberg – Silbertal,Europe,Austria,Vorarlberg
113,. Reith bei Kitzbühel,Europe,Austria,Tyrol (Tirol)
114,. Schetteregg – Egg,Europe,Austria,Vorarlberg
115,. Neunerköpfle – Tannheim,Europe,Austria,Tyrol (Tirol)
116,. Füssener Jöchle – Grän,Europe,Austria,Tyrol (Tirol)
117,praebichl-vordernberg,Europe,Austria,Styria (Steiermark)
118,petzen-feistritz-ob-bleiburg,Europe,Austria,Carinthia (Karnten)
119,kitzbueheler-horn,Europe,Austria,Tyrol (Tirol)
120,kasberg-gruenau-im-almtal,Europe,Austria,Upper Austria (Oberosterreich)
121,hoch-imst-imst,Europe,Austria,Tyrol (Tirol)
122,galsterberg-pruggern,Europe,Austria,Styria (Steiermark)
123,. Dachstein Glacier (Dachsteingletscher),Europe,Austria,Styria (Steiermark)
124,. Hochstein – Lienz,Europe,Austria,Tyrol (Tirol)
125,. Karwendel Bergbahn (Zwölferkopf) – Pertisau,Europe,Austria,Tyrol (Tirol)
126,. Rofan – Maurach,Europe,Austria,Tyrol (Tirol)
127,obertilliach-golzentipp,Europe,Austria,Tyrol (Tirol)
128,karkogel-abtenau,Europe,Austria,Salzburg (Salzburger Land)
129,hochkar-goestling,Europe,Austria,Lower Austria (Niederosterreich)
130,gemeindealpe-mitterbach-am-erlaufsee,Europe,Austria,Lower Austria (Niederosterreich)
131,gaissau-hintersee,Europe,Austria,Salzburg (Salzburger Land)
132,buergeralpe-mariazell,Europe,Austria,Styria (Steiermark)
133,arnoldstein-dreilaendereck,Europe,Austria,Carinthia (Karnten)
134,. Kelchsau,Europe,Austria,Tyrol (Tirol)
135,. Kellerjoch – Schwaz,Europe,Austria,Tyrol (Tirol)
136,planneralm-donnersbach,Europe,Austria,Styria (Steiermark)
137,oetscher-lackenhof-gaming,Europe,Austria,Lower Austria (Niederosterreich)
138,klippitztoerl,Europe,Austria,Carinthia (Karnten)
139,fendels,Europe,Austria,Tyrol (Tirol)
140,boedele-schwarzenberg,Europe,Austria,Vorarlberg
141,. Burglift – Stans,Europe,Austria,Tyrol (Tirol)
142,. Heutal – Unken,Europe,Austria,Salzburg (Salzburger Land)
143,. Tirolina (Haltjochlift) – Hinterthiersee,Europe,Austria,Tyrol (Tirol)
144,. Hohe Wand Wiese – Vienna (High Hills),Europe,Austria,Vienna (Wien)
145,. Trins,Europe,Austria,Tyrol (Tirol)
146,. Alfaierlift – Gschnitz,Europe,Austria,Tyrol (Tirol)
147,. Archenstadel – Rinn,Europe,Austria,Tyrol (Tirol)
148,. Kramsach,Europe,Austria,Tyrol (Tirol)
149,. Sternstein – Bad Leonfelden,Europe,Austria,Upper Austria (Oberosterreich)
150,. Schneeberglifte – Mitterland (Thiersee),Europe,Austria,Tyrol (Tirol)
151,aichelberglifts-karlstift-bad-grosspertholz,Europe,Austria,Lower Austria (Niederosterreich)
152,alberschwende-brueggelekopfdresslerbergtannerberg,Europe,Austria,Vorarlberg
153,almblicklifts-strallegg,Europe,Austria,Styria (Steiermark)
154,alpe-furx-furx-zwischenwasser,Europe,Austria,Vorarlberg
155,annaberg,Europe,Austria,Lower Austria (Niederosterreich)
156,annerlbauerlifte-krieglach,Europe,Austria,Styria (Steiermark)
157,arabichl-kirchberg-am-wechsel,Europe,Austria,Lower Austria (Niederosterreich)
158,arnreit,Europe,Austria,Upper Austria (Oberosterreich)
159,arralifts-harmanschlag-st-martin,Europe,Austria,Lower Austria (Niederosterreich)
160,aschaulift-koppl,Europe,Austria,Salzburg (Salzburger Land)
161,astenberg-wiesing,Europe,Austria,Tyrol (Tirol)
162,astenlift-st-veit-im-pongau,Europe,Austria,Salzburg (Salzburger Land)
163,bachrain-golling-an-der-salzach,Europe,Austria,Salzburg (Salzburger Land)
164,bad-haering,Europe,Austria,Tyrol (Tirol)
165,baienberg-reuthe,Europe,Austria,Vorarlberg
166,baldramsdorf,Europe,Austria,Carinthia (Karnten)
167,bameshub-neukirchen-am-waldeeschenau,Europe,Austria,Upper Austria (Oberosterreich)
168,bazora-gurtisfrastanz,Europe,Austria,Vorarlberg
169,berger-anger-berg-im-drautal,Europe,Austria,Carinthia (Karnten)
170,bernrad-natternbach,Europe,Austria,Upper Austria (Oberosterreich)
171,bichlalm,Europe,Austria,Tyrol (Tirol)
172,birgitz,Europe,Austria,Tyrol (Tirol)
173,birkenlift,Europe,Austria,Tyrol (Tirol)
174,boden-pfafflar,Europe,Austria,Tyrol (Tirol)
175,bodental-unterbergen-ferlach,Europe,Austria,Carinthia (Karnten)
176,boeglerlift-alpbach,Europe,Austria,Tyrol (Tirol)
177,bonka-kirchbach-st-andrae-woerdern,Europe,Austria,Lower Austria (Niederosterreich)
