Resort ID,Rate,Stars
1488,3.1,1.0
1587,4.0,4.0
1588,3.9,3.0
1589,3.9,3.0
1590,3.8,3.0
1591,3.7,3.0
1592,3.7,2.0
1593,3.6,3.0
1594,3.4,4.0
1595,3.3,3.0
1596,3.3,4.0
1705,4.0,5.0
1706,3.5,3.0
1707,3.3,2.0
1708,3.1,1.0
1831,3.9,3.0
1832,3.5,2.0
1833,3.0,2.0
1834,2.9,3.0
1835,2.7,1.0
1840,3.8,4.0
1841,3.7,3.0
1842,3.7,3.0
1843,3.7,4.0
1844,3.7,2.0
1845,3.7,3.0
1846,3.7,3.0
1847,3.7,3.0
1848,3.6,3.0
1849,3.5,2.0
1850,3.5,3.0
1851,3.5,3.0
1852,3.4,3.0
1853,3.3,2.0
1854,3.3,2.0
1855,3.3,1.0
1856,3.3,2.0
1857,3.3,3.0
1858,3.3,2.0
1859,3.2,2.0
1860,3.2,1.0
1861,3.2,2.0
1862,3.2,1.0
1863,3.1,1.0
1864,3.1,2.0
1865,3.0,2.0
1866,3.0,2.0
1867,3.0,3.0
1868,3.0,2.0
1869,2.9,2.0
1870,2.9,2.0
1873,2.8,2.0
1875,2.7,2.0
1876,2.7,2.0
1877,2.7,2.0
1878,2.7,1.0
1879,1.0,2.0
1880,1.0,2.0
1881,1.0,2.0
1882,1.0,2.0
1883,1.0,2.0
1884,1.0,2.0
1885,2.0,2.0
1886,1.0,1.0
1887,1.0,1.0
1888,1.0,1.0
1889,1.0,1.0
1890,1.0,1.0
1891,1.0,1.0
1892,1.0,1.0
1893,1.0,1.0
1894,1.0,1.0
1895,1.0,1.0
1896,1.0,1.0
1897,1.0,1.0
1898,1.0,1.0
1899,1.0,1.0
1900,1.0,1.0
1901,1.0,1.0
1902,1.0,1.0
1903,1.0,1.0
1904,1.0,1.0
1905,1.0,1.0
1906,1.0,1.0
1907,1.0,1.0
1908,1.0,1.0
1909,1.0,1.0
1910,1.0,1.0
1911,1.0,1.0
1912,1.0,1.0
1913,1.0,1.0
1914,1.0,1.0
1915,1.0,1.0
1916,1.0,1.0
1917,1.0,1.0
1918,1.0,1.0
1919,1.0,1.0
