Resort ID,Adult,Currency
422,0.0,-
424,10.0,European Euro
425,18.0,European Euro
426,15.0,European Euro
427,30.0,European Euro
428,5.0,European Euro
429,10.0,European Euro
430,10.0,European Euro
433,30.0,European Euro
434,90.0,Swiss Franc
435,94.8,Swiss Franc
436,93.6,Swiss Franc
437,110.39999999999999,Swiss Franc
438,72.0,Swiss Franc
439,0.0,-
440,76.8,Swiss Franc
441,68.39999999999999,Swiss Franc
442,78.0,Swiss Franc
443,90.0,Swiss Franc
444,52.0,European Euro
445,69.6,Swiss Franc
446,69.6,Swiss Franc
447,79.2,Swiss Franc
448,76.8,Swiss Franc
449,84.0,Swiss Franc
450,94.8,Swiss Franc
451,76.8,Swiss Franc
452,87.6,Swiss Franc
453,75.6,Swiss Franc
454,60.0,Swiss Franc
455,64.8,Swiss Franc
456,66.0,Swiss Franc
457,63.599999999999994,Swiss Franc
458,66.0,Swiss Franc
459,68.39999999999999,Swiss Franc
460,67.2,Swiss Franc
461,73.2,Swiss Franc
462,57.599999999999994,Swiss Franc
463,70.8,Swiss Franc
464,67.2,Swiss Franc
465,82.8,Swiss Franc
466,76.8,Swiss Franc
467,67.2,Swiss Franc
468,62.4,Swiss Franc
469,0.0,-
470,80.39999999999999,Swiss Franc
471,68.39999999999999,Swiss Franc
472,66.0,Swiss Franc
473,60.0,Swiss Franc
474,61.199999999999996,Swiss Franc
475,75.6,Swiss Franc
476,75.6,Swiss Franc
477,67.2,Swiss Franc
478,67.2,Swiss Franc
479,62.4,Swiss Franc
480,52.8,Swiss Franc
481,70.8,Swiss Franc
482,62.4,Swiss Franc
483,69.6,Swiss Franc
484,64.8,Swiss Franc
485,58.8,Swiss Franc
486,62.4,Swiss Franc
487,61.199999999999996,Swiss Franc
488,60.0,Swiss Franc
489,62.4,Swiss Franc
490,51.6,Swiss Franc
491,51.6,Swiss Franc
492,66.0,Swiss Franc
493,75.6,Swiss Franc
494,75.6,Swiss Franc
495,58.8,Swiss Franc
496,45.6,Swiss Franc
497,54.0,Swiss Franc
498,44.4,Swiss Franc
499,50.4,Swiss Franc
500,57.599999999999994,Swiss Franc
501,54.0,Swiss Franc
502,0.0,-
503,54.0,Swiss Franc
504,58.8,Swiss Franc
505,0.0,-
506,61.199999999999996,Swiss Franc
