Resort ID,Resort Name,Continent,Country,State/Province,Country Code,Adult Price(£)
122,galsterberg-pruggern,Europe,Austria,Styria (Steiermark),AT,44.0
123,. Dachstein Glacier (Dachsteingletscher),Europe,Austria,Styria (Steiermark),AT,48.0
125,. Karwendel Bergbahn (Zwölferkopf) – Pertisau,Europe,Austria,Tyrol (Tirol),AT,28.0
127,obertilliach-golzentipp,Europe,Austria,Tyrol (Tirol),AT,36.0
129,hochkar-goestling,Europe,Austria,Lower Austria (Niederosterreich),AT,38.0
131,gaissau-hintersee,Europe,Austria,Salzburg (Salzburger Land),AT,36.0
134,. Kelchsau,Europe,Austria,Tyrol (Tirol),AT,26.0
135,. Kellerjoch – Schwaz,Europe,Austria,Tyrol (Tirol),AT,30.0
136,planneralm-donnersbach,Europe,Austria,Styria (Steiermark),AT,41.0
137,oetscher-lackenhof-gaming,Europe,Austria,Lower Austria (Niederosterreich),AT,38.0
138,klippitztoerl,Europe,Austria,Carinthia (Karnten),AT,35.0
139,fendels,Europe,Austria,Tyrol (Tirol),AT,37.0
141,. Burglift – Stans,Europe,Austria,Tyrol (Tirol),AT,20.0
143,. Tirolina (Haltjochlift) – Hinterthiersee,Europe,Austria,Tyrol (Tirol),AT,18.0
147,. Archenstadel – Rinn,Europe,Austria,Tyrol (Tirol),AT,14.0
148,. Kramsach,Europe,Austria,Tyrol (Tirol),AT,13.0
149,. Sternstein – Bad Leonfelden,Europe,Austria,Upper Austria (Oberosterreich),AT,31.0
150,. Schneeberglifte – Mitterland (Thiersee),Europe,Austria,Tyrol (Tirol),AT,18.0
153,almblicklifts-strallegg,Europe,Austria,Styria (Steiermark),AT,22.0
154,alpe-furx-furx-zwischenwasser,Europe,Austria,Vorarlberg,AT,19.0
157,arabichl-kirchberg-am-wechsel,Europe,Austria,Lower Austria (Niederosterreich),AT,16.0
158,arnreit,Europe,Austria,Upper Austria (Oberosterreich),AT,9.0
168,bazora-gurtisfrastanz,Europe,Austria,Vorarlberg,AT,20.0
171,bichlalm,Europe,Austria,Tyrol (Tirol),AT,35.0
173,birkenlift,Europe,Austria,Tyrol (Tirol),AT,28.0
174,boden-pfafflar,Europe,Austria,Tyrol (Tirol),AT,14.0
175,bodental-unterbergen-ferlach,Europe,Austria,Carinthia (Karnten),AT,22.0
178,brandlift-scharnitz,Europe,Austria,Tyrol (Tirol),AT,11.0
181,braz-innerbraz,Europe,Austria,Vorarlberg,AT,41.0
185,brunnalmhohe-veitsch-veitsch-st-barbara-im-muerztal,Europe,Austria,Styria (Steiermark),AT,32.0
187,buchberg-goldegg,Europe,Austria,Salzburg (Salzburger Land),AT,34.0
189,buergeralm-aflenz,Europe,Austria,Styria (Steiermark),AT,24.0
190,bungerloch-tarrenz,Europe,Austria,Tyrol (Tirol),AT,7.0
